pid,Product Name,Brand,Price,Discount,Original Price,Rating,No. of Ratings,No. of Reviews,Category,Subcategory,Availability,Product URL
MRCGDAVXGK9NZWNH,"Samsung 28 L Curd Making, Pre heat, Eco Mode, Power Defrost, Auto Cook Convection & Grill Microwave Oven  (MC28A5013AK, Black)",Samsung,"12,490",19,"15,590",4.3,"12,635","1,033",Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/samsung-28-l-curd-making-pre-heat-eco-mode-power-defrost-auto-cook-convection-grill-microwave-oven/p/itm16a0a01ca9e79?pid=MRCGDAVXGK9NZWNH&lid=LSTMRCGDAVXGK9NZWNHYILLGM&marketplace=FLIPKART&store=j9e&srno=b_14_539&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.MRCGDAVXGK9NZWNH.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
WGYGSYQFPY38ZZUQ,Orient Electric Cronos Pro 25 L Storage Water Geyser | 4 Star BEE Energy Rating  (White),Orient,"5,649",46,"10,490",4.2,"12,074",539,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/orient-electric-cronos-pro-25-l-storage-water-geyser-4-star-bee-energy-rating/p/itm7f1afb85036a9?pid=WGYGSYQFPY38ZZUQ&lid=LSTWGYGSYQFPY38ZZUQVRPQ14&marketplace=FLIPKART&store=j9e&srno=b_14_540&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.WGYGSYQFPY38ZZUQ.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
ECKGXGJFYKAPZWXM,"V-Guard VRC 1.8C with 2 Pots Electric Rice Cooker  (1.8 L, White)",V-Guard,"2,199",44,"3,945",4.2,"2,294",150,Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/v-guard-vrc-1-8c-2-pots-electric-rice-cooker/p/itmfc05b00c6736c?pid=ECKGXGJFYKAPZWXM&lid=LSTECKGXGJFYKAPZWXMBSAXAL&marketplace=FLIPKART&store=j9e&srno=b_14_543&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.ECKGXGJFYKAPZWXM.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
CPREZ9Y6MABUUZSQ,"BOROSIL Chefdelite Electric Vegetable Chopper  (1 Instruction Manual, 1 Chopper Motor With Blades, 1 Chopping Bowl Capacity 600ml)",BOROSIL,"1,799",27,"2,490",4.5,"1,118",132,Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/borosil-chefdelite-electric-vegetable-chopper/p/itmez9y83y73fhky?pid=CPREZ9Y6MABUUZSQ&lid=LSTCPREZ9Y6MABUUZSQ28IIGS&marketplace=FLIPKART&store=j9e&srno=b_14_544&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.CPREZ9Y6MABUUZSQ.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
SSSG88ZD8XHVYEVZ,"Revol Water Tank Overflow Alarm Siren with Voice Sound, Wired Sensor Security System Water Alarm Bell with free water sensor,Oval Shape Wired Sensor Security System",Revol,267,64,745,3.8,"3,543",299,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/revol-water-tank-overflow-alarm-siren-voice-sound-wired-sensor-security-system-bell-free-sensor-oval-shape/p/itme933ca65ecbd3?pid=SSSG88ZD8XHVYEVZ&lid=LSTSSSG88ZD8XHVYEVZMXCQVS&marketplace=FLIPKART&store=j9e&srno=b_14_546&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.SSSG88ZD8XHVYEVZ.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
REMG86G7J7H3AGG6,Airtel DTH Set Top Box Remote Control-(Please Match Your Old Remote Before Order ) 100 ML Free Cleaning Kit Xstream Remote Controller  (Black),Airtel,203,74,799,3.9,"2,473",173,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/airtel-dth-set-top-box-remote-control-please-match-your-old-before-order-100-ml-free-cleaning-kit-xstream-controller/p/itmf27fb128bc5aa?pid=REMG86G7J7H3AGG6&lid=LSTREMG86G7J7H3AGG6EH6NP1&marketplace=FLIPKART&store=j9e&srno=b_14_549&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.REMG86G7J7H3AGG6.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
REMG92FNQR5WTRS5,SHIELDGUARD Remote Control Compatible for Home Theater RM-ANU156 Sony Remote Controller  (Black),SHIELDGUARD,169,66,499,4.2,935,43,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/shieldguard-remote-control-compatible-home-theater-rm-anu156-sony-controller/p/itm829cb41de57cf?pid=REMG92FNQR5WTRS5&lid=LSTREMG92FNQR5WTRS50RFJHC&marketplace=FLIPKART&store=j9e&srno=b_14_550&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.REMG92FNQR5WTRS5.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
REMH574DY54HYAZU,Hybite Remote Compatible for Ac-er Smart LED UHD FHD Tv Without Voice Command (Please Match Your Old Remote )Acer Without Voice Remote Controller  (Black),Hybite,401,59,999,3.4,139,8,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/hybite-remote-compatible-ac-er-smart-led-uhd-fhd-tv-without-voice-command-please-match-your-old-acer-controller/p/itmf0d8a146d3420?pid=REMH574DY54HYAZU&lid=LSTREMH574DY54HYAZU9FMCST&marketplace=FLIPKART&store=j9e&srno=b_14_553&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.REMH574DY54HYAZU.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
MIXGPD43FVZWADFT,Skystar Elegant Mixer Grinder & 750 Dry Iron Super Combo 700 W Mixer Grinder  (Elegant & 750Dry Iron Super Combo | 3 Jars | White Blue),Skystar,"1,538",57,"3,599",4,"12,038","1,062",Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/skystar-elegant-mixer-grinder-750-dry-iron-super-combo-700-w/p/itm25b49f2b6f24a?pid=MIXGPD43FVZWADFT&lid=LSTMIXGPD43FVZWADFTDTZ3EG&marketplace=FLIPKART&store=j9e&srno=b_14_554&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.MIXGPD43FVZWADFT.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
ROHFWYCZJG5SY5H9,GESTOR Blaze Noiseless with Copper Motor Fan Room Heater,GESTOR,697,70,"2,390",4.1,"1,928",325,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/gestor-blaze-noiseless-copper-motor-fan-room-heater/p/itm466a1124147c4?pid=ROHFWYCZJG5SY5H9&lid=LSTROHFWYCZJG5SY5H92BXMWM&marketplace=FLIPKART&store=j9e&srno=b_14_556&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.ROHFWYCZJG5SY5H9.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
